what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982365459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982374935
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982375331
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982375372
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337982381708
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982383234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1337982389806
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337982391469
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1337982420643
activated,editor,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1337982423474
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982426321
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337982428816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982431154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1337982436191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982436203
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982438198
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982438227
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982440008
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982440009
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337982444817
started,bundle,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal",1337982452374
started,bundle,com.aptana.org.eclipse.tm.terminal,3.1.0.1312318673,"com.aptana.org.eclipse.tm.terminal",1337982452391
opened,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982452522
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982452639
executed,command,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.commands.openTerminal",1337982452643
started,bundle,org.radrails.rails.ui,3.0.2.1320689232,"org.radrails.rails.ui",1337982454201
started,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1337982480881
started,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1337982480893
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1337982480921
opened,view,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1337982481117
activated,view,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1337982481215
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982483581
closed,view,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1337982483588
started,bundle,org.eclipse.datatools.connectivity,1.2.2.v201010220354,"org.eclipse.datatools.connectivity",1337982484314
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211415,"org.eclipse.datatools.connectivity.ui",1337982484315
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1337982484315
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1337982484321
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.1.v201010090204,"org.eclipse.datatools.connectivity.sqm.core",1337982484373
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1337982484378
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1337982484423
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1337982484470
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982486238
closed,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1337982486294
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1337982487145
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1337982487172
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1337982487202
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1337982487244
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982488388
closed,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1337982488389
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1337982489070
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1337982489113
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1337982489573
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1337982491140
closed,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1337982491142
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982492511
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1337982494859
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1337982503262
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1337982503326
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1337982525995
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1337982526013
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1337982530219
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1337982538108
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982539577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982541392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982544630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982545751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982547760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982549204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982551853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982560358
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337982566357
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1337982566361
started,bundle,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1337982570229
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1337982570276
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1337982570293
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1337982570325
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1337982570433
started,bundle,com.aptana.editor.js,3.0.3.1326473864,"com.aptana.editor.js",1337982570477
started,bundle,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1337982570548
started,bundle,com.aptana.editor.xml,3.0.0.1319571596,"com.aptana.editor.xml",1337982570577
started,bundle,com.aptana.editor.svg,3.0.3.1317303845,"com.aptana.editor.svg",1337982570585
started,bundle,com.aptana.editor.dtd,3.0.0.1312318673,"com.aptana.editor.dtd",1337982570603
started,bundle,com.aptana.webserver.core,3.0.0.1326896828,"com.aptana.webserver.core",1337982570696
opened,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1337982570998
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1337982571119
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1337982573747
closed,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1337982573748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982574545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982592008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982603977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982605483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982618877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982623142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982624313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982645051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1337982649470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982651016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982656856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982658296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982802151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982803577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982804275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982804546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1337982918794
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337982920989
opened,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1337982924682
