what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591529268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591531908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591544645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591555448
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591560892
started,bundle,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591563985
opened,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591564078
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591564114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591585446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591596668
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591612396
opened,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591612562
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591612583
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591612606
opened,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591614006
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591614027
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591616370
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1338591616498
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1338591616522
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1338591616553
opened,editor,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338591616607
activated,editor,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338591616663
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591618355
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591618496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591619670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591638790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591640132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591648963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591652838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591713900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1338591725739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1338591726911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591727863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591745741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591746691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591750686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1338591755323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1338591756248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591757067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591763271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591763814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338591768126
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591770013
activated,editor,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338591770151
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591771644
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591771755
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338591772953
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591773049
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591775812
closed,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591775812
activated,editor,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338591776657
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591779025
closed,editor,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338591779025
activated,editor,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338591780742
