what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.editor.sass,3.0.2.1322070237,"com.aptana.editor.sass",1338504861671
stopped,bundle,com.aptana.editor.svg,3.0.3.1317303845,"com.aptana.editor.svg",1338504861671
stopped,bundle,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338504861671
stopped,bundle,com.aptana.editor.diff,3.0.0.1317303845,"com.aptana.editor.diff",1338504861671
stopped,bundle,com.aptana.editor.xml.formatter,3.0.0.1326238924,"com.aptana.editor.xml.formatter",1338504861671
stopped,bundle,com.aptana.editor.xml,3.0.0.1319571596,"com.aptana.editor.xml",1338504861671
stopped,bundle,com.aptana.editor.js.formatter,3.0.3.1326238924,"com.aptana.editor.js.formatter",1338504861672
stopped,bundle,com.aptana.editor.json,3.0.0.1326238924,"com.aptana.editor.json",1338504861672
stopped,bundle,com.aptana.formatter.ui.epl,3.0.0.1326324667,"com.aptana.formatter.ui.epl",1338504861672
stopped,bundle,com.aptana.editor.dtd,3.0.0.1312318673,"com.aptana.editor.dtd",1338504861672
stopped,bundle,com.aptana.editor.idl,3.0.0.1312318673,"com.aptana.editor.idl",1338504861672
stopped,bundle,com.aptana.editor.js,3.0.3.1326473864,"com.aptana.editor.js",1338504861672
stopped,bundle,com.aptana.editor.php.epl,3.0.0.1327100530,"com.aptana.editor.php.epl",1338504861672
stopped,bundle,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1338504861672
stopped,bundle,com.aptana.ruby.ui,3.0.2.1322528885,"com.aptana.ruby.ui",1338504861672
stopped,bundle,com.aptana.projects,3.0.0.1326758008,"com.aptana.projects",1338504861672
stopped,bundle,com.aptana.deploy.ftp,3.0.3.1321500599,"com.aptana.deploy.ftp",1338504861672
stopped,bundle,com.aptana.syncing.ui,3.0.3.1320185576,"com.aptana.syncing.ui",1338504861672
stopped,bundle,com.aptana.ui.secureftp,3.0.0.1313195111,"com.aptana.ui.secureftp",1338504861672
stopped,bundle,com.aptana.ui.ftp,3.0.0.1315851584,"com.aptana.ui.ftp",1338504861672
stopped,bundle,com.aptana.ui.s3,3.0.0.1312932604,"com.aptana.ui.s3",1338504861672
stopped,bundle,com.aptana.ui.io,3.0.0.1325721413,"com.aptana.ui.io",1338504861672
stopped,bundle,com.aptana.editor.text,3.0.0.1312318673,"com.aptana.editor.text",1338504861672
stopped,bundle,com.aptana.editor.yaml,3.0.0.1319153173,"com.aptana.editor.yaml",1338504861672
stopped,bundle,com.aptana.preview,3.0.0.1324505261,"com.aptana.preview",1338504861672
stopped,bundle,com.aptana.editor.common,3.0.3.1328568823,"com.aptana.editor.common",1338504861673
stopped,bundle,com.aptana.editor.findbar,3.0.0.1326349361,"com.aptana.editor.findbar",1338504861673
stopped,bundle,com.aptana.git.ui,3.0.3.1328222732,"com.aptana.git.ui",1338504861673
